Date(DDMMYYYY),Strain,Media,Expression_Order,Induction,Carbenicillin_Concentration(ug/ml),Kanamycin_Concentration(ug/ml),Chloramphenicol_Concentration(ug/ml),Temperature(Deg),Cacl(mM),Total_Expression_Time(hr),Non-expressing(%),HlyA(%),T1SS(%),Excess(%),Total(%),T1SS:Excess_Ratio,Control?,Primary Ig?,Secondary Ig?,Repeat_Measurement?
17.05.2021,C43deltaAcrAB,LB,HlyA 30 min before HlyBD,double,100,30,0,20,5,1.5,59.1,40.7,0.1,0.1,100,1,No,Yes,Yes,No
17.05.2021,C43deltaAcrAB,2xYT,HlyA 30 min before HlyBD,double,100,30,0,20,5,1.5,91.7,8,0.1,0.2,100,0.5,No,Yes,Yes,No
17.05.2021,C43deltaAcrAB,LB,None,None,100,30,0,20,5,1.5,100,0,0,0,100,N/A,Yes,No,No,No
17.05.2021,C43deltaAcrAB,LB,None,None,100,30,0,20,5,1.5,99.8,0.1,0,0.1,100,N/A,Yes,No,Yes,No
17.05.2021,C43deltaAcrAB,LB,HlyA Only,double,100,0,0,20,5,1.5,55.5,44.5,0,0,100,N/A,Yes,No,No,No
17.05.2021,C43deltaAcrAB,LB,HlyA Only,double,100,0,0,20,5,1.5,55.1,44.8,0,0,99.9,N/A,Yes,No,Yes,No
17.05.2021,C43deltaAcrAB,2xYT,None,None,0,0,0,20,5,1.5,100,0,0,0,100,N/A,Yes,No,No,No
17.05.2021,C43deltaAcrAB,2xYT,None,None,0,0,0,20,5,1.5,100,0,0,0,100,N/A,Yes,No,Yes,No
24.05.2021,C43deltaAcrAB,LB,HlyA 30 min before HlyBD,single,100,30,0,20,5,2,44,55.5,0.2,0.2,99.9,1,No,Yes,Yes,No
24.05.2021,C43deltaAcrAB,LB,same time,single,100,30,0,20,5,2,72.6,27.2,0.1,0.1,100,1,No,Yes,Yes,No
24.05.2021,C43deltaAcrAB,LB,HlyBD 30 min before HlyA,single,100,30,0,20,5,2,68.1,31.7,0.1,0.1,100,1,No,Yes,Yes,No
24.05.2021,C43deltaAcrAB,2xYT,HlyA 30 min before HlyBD,single,100,30,0,20,5,2,79.9,19.6,0.2,0.3,100,0.666666667,No,Yes,Yes,No
24.05.2021,C43deltaAcrAB,2xYT,same time,single,100,30,0,20,5,2,44.1,55.5,0.3,0.1,100,3,No,Yes,Yes,No
24.05.2021,C43deltaAcrAB,2xYT,HlyBD 30 min before HlyA,single,100,30,0,20,5,2,90,9.6,0.2,0.3,100.1,0.666666667,No,Yes,Yes,No
24.05.2021,C43deltaAcrAB,LB,None,None,0,0,0,20,5,2,99.9,0,0,0,99.9,N/A,Yes,No,No,No
24.05.2021,C43deltaAcrAB,LB,None,None,0,0,0,20,5,2,99.9,0,0,0.1,100,N/A,Yes,No,Yes,No
24.05.2021,C43deltaAcrAB,LB,HlyA Only,single,100,0,0,20,5,2,81.7,18.3,0,0,100,N/A,Yes,No,No,No
24.05.2021,C43deltaAcrAB,LB,HlyA Only,single,100,0,0,20,5,2,73.6,26.1,0.2,0.1,100,N/A,Yes,No,Yes,No
24.05.2021,C43deltaAcrAB,LB,None,None,100,30,0,20,5,2,99.9,0,0,0.1,100,N/A,Yes,Yes,Yes,No
24.05.2021,C43deltaAcrAB,2xYT,None,None,100,30,0,20,5,2,99.7,0,0,0.3,100,N/A,Yes,Yes,Yes,No
09.06.2021,C43deltaAcrAB,LB,same time,single,100,30,0,37,0,1,7.8,91.7,0.5,0,100,Inf,No,Yes,Yes,No
09.06.2021,C43deltaAcrAB,LB,same time,single,100,30,0,37,5,1,9.5,89.4,1,0.1,100,10,No,Yes,Yes,No
09.06.2021,BL21(DE3),2xYT,same time,single,100,30,0,37,0,1,16.4,55.4,22.6,5.6,100,4.035714286,No,Yes,Yes,No
09.06.2021,BL21(DE3),2xYT,same time,single,100,30,0,37,5,1,15.2,20.7,45.5,18.6,100,2.446236559,No,Yes,Yes,No
09.06.2021,C43deltaAcrAB,2xYT,None,None,0,0,0,37,5,1,99.9,0.1,0,0,100,N/A,Yes,No,No,No
09.06.2021,C43deltaAcrAB,2xYT,None,None,0,0,0,37,5,1,100,0,0,0,100,N/A,Yes,No,Yes,No
09.06.2021,C43deltaAcrAB,LB,HlyA Only,single,100,0,0,37,5,1,12.8,87.2,0,0,100,N/A,Yes,No,No,No
09.06.2021,BL21(DE3),2xYT,None,None,0,0,0,37,5,1,99.9,0.1,0,0,100,N/A,Yes,No,No,No
09.06.2021,BL21(DE3),2xYT,None,None,0,0,0,37,5,1,100,0,0,0,100,N/A,Yes,No,Yes,No
09.06.2021,BL21(DE3),2xYT,HlyA Only,single,100,0,0,37,5,1,11.6,88.4,0,0,100,N/A,Yes,No,No,No
18.06.2021,C43deltaAcrAB,2xYT,same time,single,100,30,0,37,5,1,14.4,83.5,1.8,0.2,99.9,9,No,Yes,Yes,No
18.06.2021,C43deltaAcrAB,2xYT,same time,single,100,30,0,20,5,1,45.7,54,0.2,0.1,100,2,No,Yes,Yes,No
